LatGridBinSize 2.0
LonGridBinSize 2.0
LAT  LON   EVENT_COUNT  MAX_DEPTH  MIN_DEPTH  AVG_DEPTH  MIN_MAG  MAX_MAG  AVG_MAG
-52 -12 1 10.0 10.0 10.0 4.6 4.6 4.6
-52 -4 9 14.8 10.0 10.53 5.4 4.6 4.91
-52 -2 3 10.0 10.0 10.0 4.6 4.0 4.4
-52 0 2 10.0 10.0 10.0 4.9 4.8 4.85
-52 2 5 14.64 10.0 10.93 5.2 4.4 4.86
-52 6 4 10.0 10.0 10.0 5.2 4.4 4.7
-52 8 17 13.46 10.0 10.39 6.8 4.3 5.0
-52 10 25 35.0 10.0 11.19 5.6 4.3 4.82
-52 12 34 17.27 10.0 10.5 5.3 4.0 4.64
-52 14 12 10.0 10.0 10.0 5.4 4.3 4.63
-52 16 21 15.22 10.0 10.7 5.8 4.3 4.84
-52 18 24 15.06 10.0 10.58 5.6 4.0 4.64
-52 20 16 14.58 10.0 10.54 5.0 4.0 4.57
-52 22 30 16.0 10.0 10.91 5.6 4.0 4.73
-52 24 53 16.1 10.0 10.39 5.5 4.0 4.68
-52 26 53 11.56 8.38 10.0 5.9 4.1 4.64
-52 28 11 10.0 10.0 10.0 5.5 4.4 4.72
-52 106 2 10.0 10.0 10.0 4.5 4.0 4.25
-52 138 16 16.52 10.0 11.1 5.5 4.2 4.64
-52 140 47 16.1 3.6 10.13 5.6 4.0 4.63
-52 142 2 10.0 10.0 10.0 4.3 4.2 4.25
-52 152 1 10.0 10.0 10.0 4.3 4.3 4.3
-52 158 20 12.12 4.39 9.68 5.9 4.1 4.77
-52 160 5 10.0 10.0 10.0 4.7 4.1 4.38
-50 -116 1 10.0 10.0 10.0 4.6 4.6 4.6
-50 -114 5 10.0 10.0 10.0 5.7 4.6 5.24
-50 -112 2 10.0 10.0 10.0 5.5 4.9 5.2
-50 -74 4 35.0 12.34 19.47 4.7 4.3 4.5
-50 -72 2 16.97 10.0 13.48 4.8 4.2 4.5
-50 -6 9 10.0 9.47 9.94 5.0 4.2 4.69
-50 14 1 10.0 10.0 10.0 4.8 4.8 4.8
-50 16 1 10.0 10.0 10.0 4.5 4.5 4.5
-50 28 7 10.0 10.0 10.0 5.3 4.2 4.73
-50 108 1 15.39 15.39 15.39 4.0 4.0 4.0
-50 110 1 15.2 15.2 15.2 4.2 4.2 4.2
-50 112 27 11.08 9.4 10.01 5.2 4.1 4.55
-50 114 34 10.0 9.6 9.99 5.7 4.0 4.73
-50 116 4 15.02 10.0 11.26 4.8 4.3 4.53
-50 118 9 15.56 10.0 12.72 5.1 4.2 4.68
-50 120 5 10.0 9.44 9.89 5.0 4.0 4.56
-50 124 2 17.08 15.1 16.09 4.5 4.2 4.35
-50 126 1 10.0 10.0 10.0 4.4 4.4 4.4
-50 128 2 15.01 10.0 12.5 4.7 4.1 4.4
-50 130 5 10.0 10.0 10.0 5.1 4.2 4.62
-50 134 1 10.0 10.0 10.0 4.9 4.9 4.9
-50 136 1 15.23 15.23 15.23 4.4 4.4 4.4
-50 138 48 24.2 6.6 10.32 6.3 4.2 4.9
-50 140 2 15.54 10.0 12.77 4.7 4.6 4.65
-50 146 2 10.0 10.0 10.0 4.7 4.6 4.65
-50 150 1 10.0 10.0 10.0 4.6 4.6 4.6
-50 158 1 10.0 10.0 10.0 4.5 4.5 4.5
-50 160 2 10.0 10.0 10.0 4.6 4.4 4.5
-50 162 6 20.94 8.0 11.51 6.1 4.1 4.72
-50 164 1 17.15 17.15 17.15 4.3 4.3 4.3
-50 168 1 10.0 10.0 10.0 4.2 4.2 4.2
-48 -118 1 10.0 10.0 10.0 4.9 4.9 4.9
-48 -116 11 11.9 8.1 10.0 5.9 4.2 4.9
-48 -114 17 10.47 10.0 10.03 6.5 4.2 4.95
-48 -112 4 10.0 10.0 10.0 6.1 4.4 5.28
-48 -110 3 10.0 10.0 10.0 4.9 4.8 4.83
-48 -86 6 15.23 10.0 10.87 5.3 4.6 5.0
-48 -76 1 14.79 14.79 14.79 4.3 4.3 4.3
-48 -74 2 47.1 15.13 31.12 4.8 4.4 4.6
-48 -10 4 10.0 10.0 10.0 5.0 4.6 4.82
-48 -8 20 15.16 10.0 10.55 5.6 4.1 4.81
-48 -6 5 14.4 10.0 10.88 5.3 4.4 4.82
-48 30 29 10.0 10.0 10.0 5.1 4.1 4.58
-48 32 1 10.0 10.0 10.0 4.4 4.4 4.4
-48 68 12 19.64 10.0 13.26 4.9 4.3 4.58
-48 84 1 35.0 35.0 35.0 4.6 4.6 4.6
-48 98 11 10.0 4.9 9.54 5.9 4.1 4.66
-48 104 15 15.05 10.0 10.67 5.3 4.1 4.55
-48 106 24 14.65 10.0 10.19 5.5 4.0 4.59
-48 108 18 15.14 10.0 10.59 5.0 4.0 4.47
-48 110 15 18.0 10.0 10.53 5.0 4.3 4.55
-48 112 1 10.0 10.0 10.0 4.3 4.3 4.3
-48 114 5 13.97 10.0 10.81 4.7 4.1 4.44
-48 116 25 10.0 10.0 10.0 5.2 4.2 4.6
-48 118 10 15.23 10.0 11.03 4.8 4.1 4.47
-48 120 67 15.7 9.6 10.37 5.4 4.0 4.6
-48 122 23 14.89 10.0 10.52 5.8 4.0 4.57
-48 124 55 17.0 9.19 10.78 5.5 4.0 4.51
-48 126 48 15.03 9.21 10.17 5.8 4.1 4.64
-48 148 1 10.0 10.0 10.0 5.2 5.2 5.2
-48 160 2 10.0 10.0 10.0 5.3 4.4 4.85
-48 162 10 35.0 10.0 17.16 5.6 4.3 4.74
