LatGridBinSize 4.0
LonGridBinSize 4.0
# Comment
# This file was generated on 2018/09/21
# Using the following query, run against the QA database:
#  select trunc(doriginlatcached/4)*4 lat, trunc(doriginloncached/4)*4 lon, count(epc.idevent) event_count, 
#         max(dorigindepthcached) max_depth, min(dorigindepthcached) min_depth, 
#         trunc(avg(dorigindepthcached)) avg_depth, 
#         round(min(dprefmagcached),1) min_mag, round(max(dprefmagcached),1) max_mag,
#         round(avg(dprefmagcached),1) avg_mag
#  from eventprefercache epc, eventtracking et
#  where epc.idevent = et.idevent
#    and et.fpubstatus > 2 /* some sort of pub */
#  --  and (doriginlatcached)  between 20 and 70
#  --  and (doriginloncached) between -160 and -100
#  group by trunc(doriginlatcached/4)*4, trunc(doriginloncached/4)*4
#  order by lat, lon
#  ;
#
# First two lines of file must be LatGridBinSize and LonGridBinSize 
# Comment lines are allowed but first character must be '#'
# Header line must be first blank line after the GridSize lines, and must start with "LAT  LON"
LAT  LON   EVENT_COUNT  MAX_DEPTH  MIN_DEPTH  AVG_DEPTH  MIN_MAG  MAX_MAG  AVG_MAG  
-24  -8    7            15.08      9.98       10         4.5      5.8      5        
-24  4     1            10         10         10         4.5      4.5      4.5      
-24  24    70           26.22      1.19       6          2.2      5.4      4.4      
-24  28    6            10         4.99       5          2.3      4.8      3.9      
-24  36    1            14.91      14.91      14         5        5        5        
-24  60    1            10         10         10         4.5      4.5      4.5      
-24  64    33           15.61      9.97       10         4.2      5.2      4.6      
-24  68    93           33.2       7.82       10         4.2      5.4      4.7      
-24  72    15           14.99      10         10         4.1      5.5      4.7      
-24  76    1            10         10         10         4.5      4.5      4.5      
-24  80    3            10         10         10         4        4.6      4.3      
-24  112   1            15         15         15         4        4        4        
-24  120   1            10         10         10         4.5      4.5      4.5      
-24  124   1            0          0          0          4.6      4.6      4.6      
-24  128   14           13.86      0          4          3.9      6        4.5      
-24  132   1            13.7       13.7       13         5.3      5.3      5.3      
-24  140   1            4.39       4.39       4          4.2      4.2      4.2      
-24  148   1            15         15         15         4.9      4.9      4.9      
-24  152   6            15.31      9          10         4.2      5.5      4.8      
-24  168   2            18.68      15.03      16         4.1      5.2      4.7      
-24  172   3            22.22      9.9        15         4.2      5.1      4.6      
-24  176   493          644.68     421.68     522        3        6.6      4.5      
-20  -176  2028         671.56     1          490        3.8      7.4      4.5      
-20  -172  703          512.21     1          34         3.5      6.3      4.7      
-20  -168  5            15.06      10         13         4.4      4.6      4.5      
-20  -112  42           21.34      8.55       10         4.3      6        4.8      
-20  -108  7            11.38      9.45       10         4        4.8      4.5      
-20  -76   1            14.03      14.03      14         4.2      4.2      4.2      
-20  -72   1            17.01      17.01      17         5.3      5.3      5.3      
-20  -68   1349         211.28     1          78         3.1      7.7      4.4      
-20  -64   615          341.15     1          204        3.7      6.7      4.4      
-20  -60   26           570.71     43.96      523        4.1      6.8      4.7      
-20  -48   1            10         10         10         3.5      3.5      3.5      
-20  -12   20           14.5       9.98       10         4.4      5.3      4.8      
-20  -8    18           10.01      10         10         4.5      5.3      4.7      
-20  12    3            17.31      10         13         4.7      5.2      4.9      
-20  24    12           29         10         13         4        6.5      4.8      
-20  28    1            5          5          5          4.5      4.5      4.5      
-20  32    19           33.42      10         12         4.1      5.6      4.5      
-20  36    5            14.7       10         10         4.1      4.6      4.4      
-20  40    1            10.25      10.25      10         5.3      5.3      5.3      
-20  44    1            7.26       7.26       7          5.5      5.5      5.5      
-20  48    1            15.6       15.6       15         4.5      4.5      4.5      
-20  56    1            14.08      14.08      14         4.1      4.1      4.1      
-20  64    38           20.2       8.53       11         4.3      5        4.6      
-20  68    50           16.27      9          10         4        5.2      4.5      
-20  80    15           12.35      9.94       10         4.5      5.6      4.9      
-20  88    1            10         10         10         5.3      5.3      5.3      
-20  96    1            10.19      10.19      10         4.8      4.8      4.8      
-20  112   1            12.6       12.6       12         5        5        5        
-20  116   1            10         10         10         4.4      4.4      4.4      
-20  120   4            11.25      0          7          3.4      4.5      4.2      
-20  128   3            10         10         10         4.2      4.5      4.3      
-20  144   1            5          5          5          4.1      4.1      4.1      
-20  152   1            10         10         10         4.6      4.6      4.6      
-20  160   1            13.7       13.7       13         4.2      4.2      4.2      
-20  164   6            89.4       10         32         4.1      5.1      4.6      
-20  168   960          246.64     0          31         3        7.1      4.7      
-20  172   177          400        8          25         4        7.2      4.7      
-20  176   225          643.29     7.05       503        4        6.7      4.6      
-16  -176  2219         697.36     0          516        3.4      8.2      4.4      
-16  -172  1237         574.97     0          94         3.7      6.7      4.6      
-16  -168  26           39.03      10         19         4.1      5.5      4.7      
-16  -148  1            14.05      14.05      14         4.8      4.8      4.8      
-16  -144  1            12.06      12.06      12         4.4      4.4      4.4      
-16  -124  1            10         10         10         5.3      5.3      5.3      
-16  -112  1            10         10         10         5.1      5.1      5.1      
-16  -76   1            9.99       9.99       9          5.3      5.3      5.3      
-16  -72   123          162.71     8          54         3.8      6.4      4.5      
-16  -68   986          239.08     0          67         3.2      8.2      4.4      
-16  -64   55           603.37     10         204        3.1      5.3      4.3      
-16  -60   21           600.21     10         168        4        6.5      4.8      
-16  -56   1            12.31      12.31      12         4.1      4.1      4.1      
-16  -44   1            14.63      14.63      14         3.7      3.7      3.7      
-16  -16   1            10         10         10         4.7      4.7      4.7      
-16  -12   60           16.7       7.45       10         4.3      6.3      4.9      
-16  -8    4            10         10         10         4.3      5.2      4.8      
-16  12    4            11.25      10         10         4.2      5        4.7      
-16  28    2            15         10         12         3.3      4.6      4        
-16  32    14           27         9.99       12         4        5.6      4.6      
-16  36    1            10         10         10         4.2      4.2      4.2      
-16  40    7            16.56      9.86       12         4.2      5.1      4.6      
-16  48    1            14.93      14.93      14         4.3      4.3      4.3      
-16  64    63           15.45      7.94       10         4        6.6      4.8      
-16  84    1            14.84      14.84      14         4.3      4.3      4.3      
-16  88    2            14.98      10         12         4.4      4.6      4.5      
-16  96    1            12.7       12.7       12         4.8      4.8      4.8      
-16  108   1            10         10         10         4.1      4.1      4.1      
-16  116   1            10         10         10         5        5        5        
-16  120   3            13.85      10         11         4        4.6      4.4      
-16  124   2            10         10         10         3.8      4.8      4.3      
-16  128   1            4.57       4.57       4          4.9      4.9      4.9      
-16  132   6            11         5          7          4.2      4.4      4.3      
-16  148   4            10         2          8          4        5.7      4.5      
-16  156   1            15         15         15         4.2      4.2      4.2      
-16  164   400          200.99     1          26         3.3      7.1      4.7      
-16  168   559          310.8      1          132        3.3      7.5      4.6      
-16  172   65           614.52     9.94       54         3.8      6.1      4.7      
-16  176   184          670.9      3.76       121        3.9      7.9      4.7      
-12  -176  203          546.99     1          248        3.3      6.5      4.5      
-12  -172  701          505.27     0          56         3.7      6.8      4.7      
-12  -168  18           32.79      10         18         4.2      5.3      4.6      
-12  -140  2            16.2       10         13         4.4      4.5      4.5      
-12  -136  1            10         10         10         4.5      4.5      4.5      
-12  -112  3            13.88      10         11         4.6      4.8      4.7      
-12  -108  19           10.49      10         10         4.3      5.9      4.8      
